2782.0 2782.0 2777.0 2762.0 2762.0 2768.0 2777.0 2762.0 2762.0 2768.0 2762.0 2762.0 2762.0
2868.0 2864.0 2864.0 2864.0 2863.0 2864.0 2864.0 2864.0 2864.0 2863.0 2864.0 2863.0 2864.0
2850.0 2836.0 2836.0 2836.0 2835.0 2835.0 2835.0 2835.0 2836.0 2833.0 2836.0 2833.0 2833.0
1159.0 1098.0 1098.0 1098.0 1081.0 1088.0 1107.0 1100.0 1081.0 1100.0 1099.0 1088.0 1081.0
1325.0 1325.0 1325.0 1306.0 1301.0 1302.0 1305.0 1299.0 1301.0 1301.0 1303.0 1306.0 1301.0
1305.0 1277.0 1277.0 1277.0 1277.0 1277.0 1277.0 1277.0 1277.0 1250.0 1263.0 1250.0 1252.0
1228.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0 1224.0
1278.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0 1251.0
1223.0 1207.0 1207.0 1207.0 1207.0 1206.0 1207.0 1206.0 1207.0 1207.0 1207.0 1207.0 1207.0
1291.0 1255.0 1255.0 1255.0 1255.0 1255.0 1255.0 1255.0 1253.0 1255.0 1253.0 1255.0 1253.0
1680.0 1656.0 1623.0 1623.0 1612.0 1602.0 1602.0 1583.0 1583.0 1586.0 1591.0 1607.0 1596.0
1729.0 1720.0 1720.0 1687.0 1693.0 1692.0 1690.0 1687.0 1688.0 1688.0 1677.0 1691.0 1686.0
2349.0 2320.0 2320.0 2247.0 2269.0 2247.0 2256.0 2252.0 2263.0 2257.0 2244.0 2248.0 2268.0
2362.0 2351.0 2339.0 2337.0 2339.0 2307.0 2298.0 2318.0 2316.0 2316.0 2316.0 2312.0 2313.0
2640.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0 2621.0
2758.0 2732.0 2732.0 2725.0 2732.0 2725.0 2732.0 2725.0 2725.0 2732.0 2725.0 2732.0 2725.0
2721.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0 2686.0
3135.0 3127.0 3127.0 3119.0 3127.0 3119.0 3097.0 3054.0 3119.0 3119.0 3119.0 3119.0 3119.0
5219.0 5213.0 5213.0 5213.0 5213.0 5213.0 5211.0 5211.0 5213.0 5213.0 5211.0 5211.0 5213.0
5259.0 5252.0 5251.0 5251.0 5251.0 5251.0 5251.0 5251.0 5251.0 5251.0 5251.0 5251.0 5251.0
5120.0 5114.0 5114.0 5103.0 5103.0 5098.0 5098.0 5098.0 5103.0 5098.0 5103.0 5098.0 5114.0

